indices,nomes,paises
1997-04-24,Shirley Winters,Mexico
2007-08-26,Justin Crosby,Brunei Darussalam
2014-04-27,Christina Webster,Jamaica
1998-11-10,Breanna Harris,Nicaragua
2003-07-03,Kathleen Stone,Belgium
1998-11-06,Luis King,Puerto Rico
2005-08-23,Kelli Thompson,Swaziland
2007-06-13,Bradley Curtis,French Southern Territories
2009-11-18,Steven Espinoza,American Samoa
1999-08-15,Michelle Glass,Antigua and Barbuda
2008-10-05,Monica Mathews,Congo
2016-01-13,James Smith,Haiti
1998-01-12,Micheal Spencer,Saint Kitts and Nevis
2016-04-01,Catherine Walsh,Zimbabwe
2015-04-15,Steven Ruiz,Tuvalu
1999-07-03,Christine Long,Syrian Arab Republic
2000-07-27,Cassandra Miller,Greece
2004-01-24,Joseph Schultz,Suriname
2003-09-03,Steven Lee,Mozambique
2006-09-18,Charlene Cortez,Iceland
1999-04-21,Thomas Crawford,Armenia
2000-06-08,Todd Gill,Moldova
2012-08-18,Tammy Moreno,Bulgaria
2009-03-07,Matthew Hartman,Guernsey
2008-03-22,Michael Reeves,Kuwait
2023-04-18,Danielle Harris,Monaco
1995-11-09,Louis Grimes,Latvia
2022-01-14,Jamie Oliver DDS,Italy
2009-06-14,Roberta Meyer,Isle of Man
2006-01-02,Claudia Howard,South Georgia and the South Sandwich Islands
2002-03-27,Lisa Dixon,United States Minor Outlying Islands
2008-12-28,Susan Thompson,Iran
2006-05-20,Gregory Fernandez,Denmark
2001-05-19,Tina Smith,Sweden
2002-06-17,Ashley Li,French Guiana
1997-12-05,Richard Brown,British Virgin Islands
1995-09-20,Sara Taylor,El Salvador
1998-01-18,Randy Finley,Morocco
2017-05-12,David Vazquez,Zimbabwe
2015-09-08,Joe Hughes,Sierra Leone
2003-06-17,Cory Carter,Ghana
2022-02-07,Carolyn Flores,Saint Martin
1995-10-04,Jennifer Craig,France
2021-05-24,Cheryl Hampton,Palau
2018-06-03,Hannah Miles,United Kingdom
2004-11-06,Justin Fry,Moldova
2005-04-27,Deborah Smith,Benin
2008-05-09,Brandon Howard,Gibraltar
1997-07-21,Brandon Larson,Korea
2009-07-24,David Peterson,Micronesia
2017-12-08,James Wagner,Georgia
2022-05-24,Stephanie Beltran,Gabon
2015-09-07,Joshua Palmer,Djibouti
2021-05-25,Tristan Jones,United States Virgin Islands
2007-04-02,Jacqueline Eaton,Faroe Islands
2003-06-08,Wanda Johnson,Yemen
2001-10-08,Richard Rasmussen,Sao Tome and Principe
2018-01-15,Ryan Jackson,Finland
2013-10-09,Stacy Reed,South Georgia and the South Sandwich Islands
2013-01-28,Marie Williams,Saint Pierre and Miquelon
2023-03-28,George Garcia,Indonesia
2000-02-20,Tracy Johnston,Niue
2005-04-14,Samantha Jones,Guinea
2013-04-25,Grace Powers,Bhutan
2006-02-22,Eric Wood Jr.,Serbia
2003-04-01,Alexander Wilkins,Grenada
1998-06-19,Angela Smith,Mauritius
2015-08-19,Jacqueline Hernandez,Christmas Island
2007-04-20,Robert Moon,Nauru
2023-07-04,Nathan Lynch,Nigeria
2012-03-13,Cindy Vazquez,Tonga
2007-07-24,Erin Olson,Seychelles
2012-03-19,Kelly Cardenas,Latvia
2017-01-23,Amy Harper,Russian Federation
2010-07-13,Lisa Wang,Saint Lucia
2018-12-19,Daniel Murray,Niger
2011-09-07,Tiffany Lynch,Lebanon
2024-01-22,Thomas Davis,French Guiana
2014-10-29,Shawn Davis,Gambia
2015-01-17,Terrance Contreras,Greece
2017-02-10,Raven Rivera,Cote d'Ivoire
2003-10-22,Brittany Shepard,Niger
2000-05-07,Jesse Harmon,Greenland
2011-10-19,Michael Guerrero,Andorra
2022-11-01,Bryan Friedman,Algeria
2005-04-26,Michael Johnson,Sao Tome and Principe
2004-10-18,Brian Paul,Kiribati
2018-11-14,Evelyn Davis,Bangladesh
2014-10-05,James Roberts,Romania
2016-10-17,Aaron Knapp,Australia
1997-10-03,Mary Johnson,Kazakhstan
2018-08-02,Lawrence Johnson,Angola
2023-08-03,Dr. Hannah Frey,Sweden
2007-02-08,Benjamin Day,Singapore
2014-01-20,Jennifer Parker,Ethiopia
2019-10-23,Lisa Warren,Germany
1997-05-17,Ethan Gonzalez DDS,Macao
2009-03-04,William Harris,Croatia
2000-03-31,Angela Thomas,El Salvador
2007-01-23,Danielle Spears,Cocos (Keeling) Islands
2016-05-10,Matthew Butler,Suriname
1995-01-30,Cody Collins,Lebanon
2002-10-07,David Sanchez,Tonga
2005-08-16,Tony Davis,Luxembourg
2001-12-16,Brett Ponce,Bahamas
2023-02-07,Mr. Aaron Howell DDS,Western Sahara
2000-09-03,Malik Mccarthy,Trinidad and Tobago
2020-12-13,Victor Sullivan,Gabon
2019-11-28,Jared Peterson,Grenada
2000-12-20,Joseph Davis,Samoa
2001-08-07,Cindy Roth,Thailand
2022-01-22,Andrew Robertson,Togo
2003-05-09,John Williams,Peru
1997-01-19,Justin Avila,Gambia
2007-10-12,Kimberly West,Botswana
2008-08-09,Melissa Oliver,Ireland
2023-04-14,Jacob Russell,Timor-Leste
2018-09-30,Tim Sanchez,Central African Republic
1997-12-09,Vicki Clark,Chad
2004-07-13,John Johnson,Spain
2007-09-20,Joyce Davis,Canada
2022-09-06,Gary Dawson,Netherlands
2004-08-23,Sean Norris,Cameroon
2003-09-09,John Wilson,Myanmar
1997-02-05,Joe Cruz,Albania
2023-01-26,Bobby Mendez,Haiti
1998-07-11,Cody Stewart,Italy
2021-07-08,Matthew West,British Virgin Islands
1998-12-31,David Fuentes,Bangladesh
2019-03-16,Kathleen Stewart,Slovakia (Slovak Republic)
2020-10-30,Anne Sullivan,Senegal
2013-11-22,Angela Young,Ukraine
2000-03-05,Denise Lee,Fiji
2004-07-04,Angel Reed,Monaco
1995-08-25,Steven Lewis,South Africa
1996-01-06,Scott Black,British Indian Ocean Territory (Chagos Archipelago)
2020-11-16,Jenna Lee,Zimbabwe
2005-04-16,Casey West,French Polynesia
2006-12-16,Mr. Jeremiah Freeman,Zambia
2000-06-16,Jim Hill,Kuwait
2014-01-03,Gerald Lee,Guam
2001-05-17,Albert Dunn,United States of America
1997-07-07,Jessica Miller,Central African Republic
1998-12-29,Steven Mills,Philippines
2004-05-04,Jennifer Howard,Nicaragua
2012-10-07,Lisa Bradley,Aruba
2011-04-30,Donald Hansen,Slovakia (Slovak Republic)
2018-02-21,Lawrence Shelton,Bhutan
2009-07-08,Martha Lee,Trinidad and Tobago
2021-08-25,Charles Walters,Greenland
2012-09-28,Nicole Anderson,Guinea-Bissau
2022-05-18,Melanie Riley,Madagascar
2001-03-26,Susan Robertson,Gambia
2018-12-05,Samuel Sims,Poland
1995-02-28,Julie Monroe,Cambodia
2019-01-19,Paul Silva,Western Sahara
2008-02-11,James Salazar,Togo
2020-08-28,James Cruz,Costa Rica
2007-07-09,Mr. Paul Potter,Christmas Island
2002-06-25,Laura Cuevas,Greenland
2002-12-19,Michael Adkins,Lao People's Democratic Republic
2016-02-18,Jennifer Harmon,Vietnam
2002-06-26,Tara Gilbert,Northern Mariana Islands
2006-03-20,Kevin Lynn,Albania
2002-09-08,Donald Sanchez,Brunei Darussalam
1997-06-05,David Lopez,Sao Tome and Principe
2021-08-02,Robert Byrd,Cocos (Keeling) Islands
2009-07-13,Michael Christensen,Western Sahara
2004-12-28,Mary Taylor,Turkmenistan
2004-04-02,Ashley Bishop,Antigua and Barbuda
2007-01-10,Albert Hansen,Barbados
2004-09-04,Timothy Jensen,Myanmar
2012-11-04,Scott Barnes,Solomon Islands
2006-12-19,Richard Powell,American Samoa
2018-04-05,James Spears,Ecuador
2020-11-15,Angela Evans,Guadeloupe
2012-06-10,Christian Stone,Cote d'Ivoire
2009-02-20,Tiffany Smith,Turks and Caicos Islands
2021-07-23,Jason Cruz,Eritrea
1994-12-12,Carlos Glenn,Macao
1996-11-06,Samuel Reed,Armenia
2002-04-15,Jessica Branch,Dominican Republic
2010-04-05,Terri Burch,Malaysia
2001-10-07,Vanessa Macdonald,American Samoa
2008-12-16,Angel Hanna,Turkey
2009-02-07,Matthew Smith,Iceland
2022-02-12,Keith Harper,Gabon
1995-06-14,Caleb Williams,Andorra
2001-04-11,Destiny Jackson,Netherlands Antilles
2022-08-21,Toni Ibarra,Vietnam
2007-09-14,Mary Long,Uruguay
2016-10-27,Heather Jackson,Suriname
2005-01-06,Cynthia Hogan,Honduras
1999-10-02,Leslie Martinez,Saint Pierre and Miquelon
1998-09-28,Jeffrey Washington,Maldives
2007-03-07,Nancy Dennis,Greenland
1999-10-26,Michael Bennett,Kyrgyz Republic
2001-06-02,Courtney Reeves,Canada
2017-01-29,Kathryn Johnson,Mexico
2009-07-12,Kevin Parker,Guam
2007-02-06,Susan Robinson,Kiribati
1995-09-16,Tristan Thomas,Micronesia
1998-08-15,Craig Gill,Azerbaijan
2001-10-17,William Frye,Lithuania
1998-08-27,Mr. Jared Cooper,Marshall Islands
2018-06-28,Herbert Brown,Thailand
1996-04-14,Diane Pace,Malta
2024-01-30,James Hill,Congo
2006-07-24,Lawrence Morgan,Kiribati
2022-02-18,Mariah Harmon,Netherlands Antilles
2022-03-27,Connie Moss,Norway
2022-12-19,Jeremiah Campbell,Eritrea
2023-11-03,Brandon May,Paraguay
2011-10-14,Robert Francis,Guam
2004-02-02,Shelley Jackson,Tunisia
2013-06-20,Amanda Cruz,Sri Lanka
2016-01-22,Alexandra Hampton,Austria
1999-05-20,Martin Hernandez,Sweden
2001-05-17,Jasmin Jennings,Isle of Man
2002-03-11,Nicole Smith,Spain
2003-03-11,Stephen White,Lebanon
2015-09-30,James Wood,Mali
2010-05-19,Robert Chang,Taiwan
2010-11-08,Jonathan Keller,Gabon
2010-07-05,Melody Fox,Sudan
2022-01-13,Melanie Mueller,Togo
2018-01-12,Amy Johnson,Eritrea
2014-04-10,Charles Ferguson,Colombia
2019-07-06,Barry Ryan,British Virgin Islands
2015-04-08,William Powell,Zimbabwe
2016-08-08,James Hatfield,Canada
2006-04-20,Juan Huang,Martinique
2010-06-16,Anne Holmes,Vietnam
1996-12-17,Jessica Brown,Jersey
2001-06-11,Monica Cunningham,Isle of Man
2020-02-24,Carolyn Hansen,Qatar
2018-02-12,Beth Walker,Solomon Islands
2001-12-01,Patrick Miller,Micronesia
2013-02-19,Rachel Bass,Saudi Arabia
2003-07-24,Colleen Pearson,Macedonia
2006-09-25,Gary Nelson,Vietnam
2021-07-14,Gabriel Newman,Bahrain
2012-01-12,Richard Martin,Vanuatu
2023-06-29,Jason Taylor,Armenia
2023-07-06,Zachary Johnson,Jamaica
2001-03-28,Anthony Reynolds,Turks and Caicos Islands
2016-11-20,David Martin PhD,Kenya
2020-01-23,Taylor Golden,Norway
1998-02-15,Summer Boyer,Taiwan
2022-12-10,Kevin Lopez,Kuwait
2010-06-27,Marcus Burns,Marshall Islands
2020-02-19,Donald Lewis,Ethiopia
2022-07-19,Timothy Roberts,Guyana
2013-07-07,Jessica Bird,Northern Mariana Islands
2024-01-03,Debra Johnson,Solomon Islands
2015-04-11,Manuel Donaldson,Guatemala
2024-04-19,Jenna Ruiz,Ethiopia
1997-02-02,Andrea Vazquez,Senegal
1998-12-29,Robert Willis,Antigua and Barbuda
2016-05-04,Jill Olson,Norfolk Island
2003-08-02,Mark Johnson,Guernsey
2018-11-14,Sarah Davis,Botswana
2011-03-23,Lisa Martinez,Paraguay
2002-06-18,Raymond Johnson,Guadeloupe
1999-05-25,Hayden Le,Belarus
2020-10-30,Joseph Campbell,Argentina
2009-01-24,Michelle Yu,British Virgin Islands
2014-01-05,David Perez,Turkmenistan
2020-05-25,Mrs. Sara Morris,Portugal
2015-05-03,Ann Ellis,Portugal
1996-09-27,James Wright,Serbia
2020-01-09,Dana Lamb,Bahamas
2006-01-04,Melissa Lee,French Southern Territories
2001-12-02,Miss Danielle Anderson,Korea
2013-06-15,Maureen Hayes,Nepal
2018-06-28,Michael Henry,Turkey
2019-10-18,Stacy Price,Iran
2010-04-06,Kimberly Villarreal,Czech Republic
2005-07-23,Tyler Daniels,Paraguay
2015-04-07,Jeff Cherry,Brazil
2000-01-12,Colin Juarez,Micronesia
2016-04-29,Bailey Schultz,Northern Mariana Islands
2002-08-30,Jeremy Little,Malawi
1995-05-25,Gary Webb,French Southern Territories
2006-03-27,Tracy Berger,Poland
2020-12-08,Anna Alexander,Rwanda
2001-07-02,George Solis,New Caledonia
2004-01-25,Misty Hughes,Gibraltar
2015-07-10,Jennifer Watts,American Samoa
2017-01-29,Richard Bryant,San Marino
2010-05-17,Matthew Williams,Congo
2017-05-15,Maria Deleon,Faroe Islands
2016-06-04,Jessica Gibbs,United Arab Emirates
2020-01-08,Emily Garcia,Argentina
2004-02-29,Jennifer Adams,Tonga
1998-10-09,Brian Scott,Turkey
2008-04-30,Tyler Barrett,Mauritius
2002-11-14,Zoe Sanders,Comoros
2022-10-27,Nathan Evans,Egypt
2019-04-13,Kristina Rodriguez,South Africa
2012-03-29,Renee Powell,Peru
2015-10-09,Andrew Mendoza,Ghana
2011-05-24,Larry Clark,Ireland
2006-03-22,Barry Thompson,Saint Kitts and Nevis
1997-12-11,Paige Collins,Nigeria
1998-09-01,Jonathan Griffin,Pitcairn Islands
2009-04-07,Lisa Miller,Macedonia
2005-11-23,Allen Weiss MD,Iceland
2004-01-25,Erin Coleman,Egypt
2013-07-19,Wesley Keller,Christmas Island
2002-03-22,Sandra Sanchez,Holy See (Vatican City State)
2022-10-17,Juan Barton,Albania
2004-01-12,Denise Chen,Uganda
2011-09-25,Eric Howell,Argentina
2018-11-30,Dustin Davis,Saint Kitts and Nevis
2000-07-13,Joshua Taylor,Costa Rica
2003-10-27,Kelli Warren,Paraguay
2013-05-27,Marissa Stokes,Iran
2013-02-25,James Reed,Morocco
2001-03-13,Ashley Washington,Sri Lanka
2021-04-06,Drew Robinson,Turks and Caicos Islands
2004-03-15,Jonathan Hall,Switzerland
2009-12-10,Jamie Jackson,Mauritania
2003-07-23,Lawrence Lewis,Panama
2014-07-03,Taylor Campbell,Malaysia
2009-07-15,Chris Aguilar,Spain
2008-09-08,Latoya Yang,Nepal
2010-01-17,Lisa Jordan,Moldova
2013-02-14,Lauren Wood,Macao
2021-04-12,Cynthia Escobar,Brunei Darussalam
2015-01-27,Christopher Parker,Thailand
2007-07-13,Richard Watson,Grenada
2008-03-25,Stephen Jackson,Tuvalu
2012-06-14,Nicole Wood,American Samoa
1996-02-07,Brian Wright,Central African Republic
2008-05-26,Ashley Foster,Kazakhstan
2002-10-21,William Harrison,Tajikistan
1995-11-11,Krista Goodwin,Jordan
2010-11-08,Kristen Harris,Svalbard & Jan Mayen Islands
1995-04-27,Margaret Price,Antarctica (the territory South of 60 deg S)
2013-02-21,Natalie Harmon,Myanmar
2020-07-22,Ronald Smith,Denmark
2000-12-01,Brian Martinez,Cape Verde
1997-01-24,Michael Mitchell,Turkmenistan
1998-04-04,Jeffrey Patterson,Cambodia
2015-06-21,Sara Castillo,Saint Vincent and the Grenadines
1998-10-16,Casey Smith,Rwanda
2006-04-23,Christina Henderson,Slovenia
2002-08-10,Lauren Woodard,Comoros
1996-02-21,Darren Miranda,Malawi
2019-06-10,Joshua Robinson,Western Sahara
2018-01-24,Samantha Aguilar,Guinea-Bissau
2015-08-21,Calvin Medina,Hong Kong
2008-06-22,Ethan Miller,Uganda
2020-03-28,Omar Peters,Taiwan
2016-05-11,Kenneth Patterson,Uruguay
2009-03-02,Katie Stokes,Suriname
2015-03-15,Patricia Newman,Wallis and Futuna
1998-12-22,Jill Olson,Bouvet Island (Bouvetoya)
2002-09-15,Gregory Weaver,Denmark
2018-01-06,Eileen Flores,French Guiana
2017-10-09,James Hunt,Antarctica (the territory South of 60 deg S)
1998-08-06,Michael Hawkins,United States of America
2005-01-04,Kristen Cardenas,Ecuador
1998-08-31,Gail Brown,Cook Islands
2012-10-14,William Black,Saint Lucia
2005-02-05,Christina Reed,Jersey
2009-05-19,Mary Hernandez,Senegal
1997-08-04,Michael Meyer,Cape Verde
2024-02-05,Danielle Schwartz DVM,Northern Mariana Islands
2017-01-02,Evelyn Mason,Zimbabwe
2014-05-13,Kelsey Hunter,Gambia
2007-08-10,Sandra Martinez,Sao Tome and Principe
2002-09-03,Karen Anderson,Cambodia
2009-03-14,Jerry Scott,Kiribati
2003-09-02,Cheryl Coleman,United States of America
2022-11-11,Jeffrey Hurley,Bangladesh
2011-11-07,Shawn Petty,Lesotho
2007-01-23,Jeffrey Wall,Iran
2000-03-15,Luis Brown,Tajikistan
2009-02-11,Steven Sullivan,Philippines
2017-12-29,Amber Wilkins,Bhutan
2001-11-20,Barbara Hebert,Barbados
2000-05-02,Jonathan Nelson,Peru
2013-11-30,Charles Johnson,Kiribati
2020-03-23,Joy Roberts,Turks and Caicos Islands
2009-01-30,Craig Hunter,Serbia
1996-11-19,Tammy Perkins,Liberia
2015-01-30,Christina Richards,Taiwan
2014-07-24,Emily Miranda,Chad
2000-05-18,Angela Smith,Reunion
2002-02-11,Rebecca Mueller,Netherlands Antilles
1999-04-17,Kyle Carson,Holy See (Vatican City State)
2023-10-04,James Carter,Paraguay
2005-04-15,Daisy Jenkins,Seychelles
2021-07-22,Charles Price,Cape Verde
2002-04-30,Kaitlyn Perez,Saint Kitts and Nevis
2017-11-23,Scott Velez,South Africa
2007-08-18,Joshua Hardy,Cuba
2018-02-20,Craig Gilbert,Namibia
2012-06-13,Joshua Logan,Tonga
2023-04-28,Gary Phillips,Cote d'Ivoire
2016-07-23,Eric Ortega,Christmas Island
2022-09-22,Jeffrey Peters,Norway
1996-07-24,Pedro Barber,Luxembourg
2008-04-16,Lawrence Pruitt,Guatemala
2017-02-06,Ashley Richmond,Tunisia
1999-10-08,Willie Robertson,Sudan
2015-04-01,Thomas Hodges,Latvia
1999-04-04,Bradley Waller,Senegal
2010-10-12,Amber Taylor,Guam
2004-09-19,Lisa Hernandez,France
2013-11-19,Mitchell Berry,Armenia
2019-08-03,Lisa Schmidt,Christmas Island
1997-04-20,Daniel Mahoney,Spain
2005-06-03,Amy Nichols,United States of America
2001-09-26,Matthew Bennett Jr.,Mali
1999-03-20,Cynthia Green,Fiji
2010-04-13,Rebecca Hall,Swaziland
1996-02-21,Heather Duncan,Algeria
2016-09-04,Michael Parker PhD,Ecuador
2006-09-26,Steven Williams,Barbados
1995-02-14,Kristine Long,Saint Vincent and the Grenadines
2017-09-16,Charles Crane,Panama
2001-07-27,Bradley Flores,Fiji
2015-03-27,Pamela Holloway,United Arab Emirates
2013-08-31,Ashley Hudson,Tunisia
2006-06-16,Jennifer Miller,China
2009-05-18,Julia Salas,Zambia
2023-07-03,Gary Hernandez,Madagascar
2000-06-16,Courtney Moody,Saint Kitts and Nevis
2006-05-25,Adam Griffin,Yemen
2023-11-12,Mr. Travis Mays MD,Belarus
2018-05-31,Doris Greer,Anguilla
2010-08-19,Johnny Martinez,Costa Rica
2014-10-21,Russell Miller,Afghanistan
2021-11-15,Brandon Black,Czech Republic
2021-07-07,Nicholas Morrison,Spain
2022-09-14,Michelle Lopez,New Caledonia
1997-02-08,Cathy Fisher,Libyan Arab Jamahiriya
2001-06-29,Michelle Moore,Lithuania
2022-06-27,Sharon Neal,Hungary
2003-04-27,Tony Ramirez,Liberia
1998-02-22,Gregory Burgess,Aruba
2017-05-17,Elizabeth Gross,Spain
2017-02-20,Gabriel Hayes,Niue
2016-05-28,Robert Garcia,Cote d'Ivoire
2017-02-10,Erik Carlson,Cayman Islands
1998-03-03,Rachel Jones,Sri Lanka
2000-08-18,Angela Kent,Syrian Arab Republic
2006-12-05,Jennifer Olsen,Bouvet Island (Bouvetoya)
2017-01-19,Justin Mcbride,Ghana
2005-12-29,Mitchell Jenkins,Nicaragua
2003-09-18,Ashley Brown,Isle of Man
2002-06-20,Crystal Lee,Netherlands Antilles
1995-07-18,Joshua Davis,French Southern Territories
1995-01-19,Marcus Little,Marshall Islands
2003-12-07,Austin Ford,Korea
2014-05-22,Pamela Barrett,Netherlands Antilles
2015-12-08,Jennifer Beck,Ghana
1994-06-02,Patricia Thompson,France
2011-12-07,Elizabeth Washington,Jersey
2009-09-26,Seth Lopez,Palau
2023-08-16,Jordan Green,Cape Verde
1999-04-09,Phillip Cunningham,Portugal
2004-11-21,Priscilla Peterson,Lao People's Democratic Republic
1998-01-18,David Lee,Mexico
1999-07-21,Candice Allison,Marshall Islands
1997-02-28,Kyle Bolton,Panama
2005-02-22,Amy Miles,Mongolia
2012-05-19,Abigail Graham,Guyana
2021-07-10,Isaac Patterson,Congo
1998-08-27,Jordan Odom,Belize
1995-06-18,Ryan Williams,Haiti
1997-06-21,John Miller,Mozambique
1997-09-21,Jennifer Powell,El Salvador
2022-04-11,Lee Lane,Japan
2002-02-08,Joseph Allen,Senegal
2019-10-05,Amanda Diaz,Philippines
1995-11-17,Donna Escobar,Cyprus
2005-03-31,Jeffrey Calderon,Gambia
2007-09-28,Angela Burns,Netherlands
2013-05-29,Nicholas Harris,Panama
2022-11-07,John Schneider,Qatar
2023-12-18,Karen Solomon,Myanmar
2016-09-17,Ashley Merritt,Antarctica (the territory South of 60 deg S)
2006-02-01,Eric Terry,Swaziland
2010-04-23,Shari Chen,Maldives
1997-08-29,Michael Hamilton,Slovenia
1999-12-28,Marie Fisher,Namibia
2006-02-13,Regina Baker,Latvia
2013-02-22,Charles Combs,Marshall Islands
2020-10-25,Danielle Wilson,Macedonia
2005-07-27,Heather Carter,Iraq
2010-07-20,Marc White,Mauritania
2008-10-16,David Reed,Senegal
2004-11-25,Stacie Robertson,Belgium
1999-05-30,Kristin Diaz,Netherlands
2020-01-08,Richard Meyer,Turkmenistan
2019-05-16,Tammy Jones,Uzbekistan
1999-02-16,Dwayne Johnson,Maldives
2013-04-01,Thomas Cole,Lebanon
2017-06-03,Austin Wood,Yemen
2003-07-05,Katie Sullivan,Guinea
2021-12-04,Alfred Coleman,Montserrat
2013-11-26,Yvonne Murray,Singapore
2009-09-10,Shannon Melendez,Armenia
2018-09-24,Carol Matthews,Macao
2012-05-18,Ms. Pamela Singleton,Namibia
2011-04-24,Paul Hanson,British Virgin Islands
2006-02-22,Natalie Alexander,Maldives
2004-02-18,Holly Morris,French Polynesia
2001-09-13,Sharon Smith,Taiwan
1997-11-08,Mr. Jesse Lawrence,Cayman Islands
2017-08-20,Kimberly Lopez,Togo
2013-05-10,Stephen Leonard,Nepal
2022-05-31,Steven Peterson,Croatia
2003-05-27,Matthew Cox,Ethiopia
2013-12-03,Drew Lee,Bosnia and Herzegovina
2005-07-02,Brenda Carlson,Tanzania
2003-02-09,Brandi Cline,Bouvet Island (Bouvetoya)
2000-11-20,Jesse Harper,Indonesia
2019-12-11,Cindy Welch,Pitcairn Islands
2000-06-10,Jeffrey Smith,Saint Barthelemy
2003-11-22,Emily Taylor MD,Netherlands
2021-10-26,Tara Johnson DVM,Cote d'Ivoire
2008-04-14,Kelly Mclaughlin,Faroe Islands
2012-07-22,Whitney Pope,Guatemala
2023-08-10,Taylor Ramos,Guadeloupe
1996-06-27,Christopher Parker,Reunion
2019-12-31,Brent Porter,Saint Martin
2020-08-20,Nichole Bryant,Heard Island and McDonald Islands
2011-12-02,Eddie David,French Guiana
2020-03-05,Catherine Armstrong,Solomon Islands
2003-10-04,Amy Jenkins,Luxembourg
2013-12-30,Kayla Watts,Afghanistan
2018-05-23,Erin Woods,Syrian Arab Republic
2023-12-19,Michelle Mendez,Vanuatu
1997-08-25,Molly Boyd,Japan
2005-03-07,James Blake,Algeria
2020-09-18,Lindsay Cole,Azerbaijan
1995-04-01,Adrian Middleton,Svalbard & Jan Mayen Islands
1996-08-02,Dylan Perry,Falkland Islands (Malvinas)
2000-04-24,Lisa Tyler,Guinea
2000-04-20,David Trevino,Russian Federation
2014-10-03,Stephanie Hunter,New Zealand
2008-09-15,Travis Glover,Guadeloupe
2024-01-13,Brittany Vargas,Lithuania
2004-04-02,Lauren Fischer,French Polynesia
2008-05-18,Stephanie Cooper,Honduras
2007-11-06,Traci Clarke,El Salvador
2012-07-19,Christopher Stanley,Oman
1999-01-05,Angel Miller,Jordan
2018-09-22,Emily Green,Isle of Man
2000-12-09,Edgar Hamilton,Namibia
2014-10-15,Diana Wagner,Palau
1995-04-04,Jessica Avila,Saint Martin
2001-06-17,Victor Fox,Guyana
2001-02-16,Peter Gordon,Christmas Island
2004-04-29,Betty Randall,Cayman Islands
2002-04-20,Kyle Roberts,Armenia
2014-02-06,Teresa Aguilar,Congo
2006-02-06,Erica Mills,Finland
1999-09-01,Savannah Frey,Saint Pierre and Miquelon
2008-12-15,Zachary Flores,Australia
2020-01-23,Luis Allen,Martinique
1998-07-08,Tammy Mcguire,Serbia
2009-06-30,Joshua Sutton,Cuba
2015-04-09,Adam Clark,Bosnia and Herzegovina
1997-02-05,Sean Howard,France
1995-06-18,Sabrina Scott,Malaysia
2005-12-05,Deborah Allen,United Kingdom
2013-08-05,Jennifer Stephens,Latvia
2014-03-20,Emily Singh,Mauritania
2014-03-12,Kimberly Callahan,Dominican Republic
2002-11-10,Cynthia Berry,Turkmenistan
1996-06-13,Richard Wells,Hong Kong
1999-07-13,Casey Arnold,Greenland
2017-03-09,Denise Bennett,Libyan Arab Jamahiriya
2013-09-22,Kristen Jones,Panama
1996-04-19,Ashlee Doyle,Slovenia
2017-02-02,Connor Ramos,Sierra Leone
2008-06-11,Karen Reed,Nepal
2012-01-09,Todd Miller,Chad
2011-02-05,Christopher Dunlap,Botswana
2001-04-28,Briana Martin,San Marino
2016-03-28,Adam Williams,Congo
1999-02-25,Cheryl Chandler,Jamaica
2002-02-27,Matthew Guerrero,Cocos (Keeling) Islands
2019-12-31,Amanda Morris,Slovenia
1997-01-02,Judy Gutierrez,Serbia
2011-10-21,Adam Barton,South Africa
2013-05-31,Jennifer Orr,Cyprus
2023-09-13,Brenda Jackson,France
2006-03-10,Matthew Smith,Montserrat
2022-06-21,Thomas Tucker,Qatar
2021-11-15,William Morgan,Tanzania
2017-01-14,Cynthia Steele,Tonga
2006-05-25,Joshua Marshall,Saint Lucia
2018-09-11,David Farrell,Bahrain
1995-07-16,Megan Hale,Somalia
2009-05-11,Veronica Knight,Barbados
2006-03-26,James Shaw,Malaysia
1994-04-29,Christopher Bowman,Monaco
2010-10-31,Jillian Brown,Sao Tome and Principe
2003-06-16,Lisa Cohen,Japan
2006-09-23,Daniel King,Wallis and Futuna
1995-06-23,Sharon Bell,Micronesia
2010-01-25,Jaclyn Powell,Netherlands
2023-03-21,Carrie Everett,Tunisia
2015-09-13,Todd Davis,Saint Vincent and the Grenadines
1994-05-20,Brenda White,Sao Tome and Principe
2022-02-09,Paul Murray,Malawi
2000-08-27,Kimberly Wilcox,Malaysia
2007-05-15,Mr. Kevin Rogers,India
1995-01-18,Tammie Shah,Comoros
1997-02-15,Craig Weeks MD,Bolivia
2023-01-05,Jeffrey Leblanc,Jordan
2001-04-07,Melinda Anderson,Azerbaijan
2006-05-16,John Ortega,Costa Rica
1996-11-05,Catherine Lewis,Hungary
2019-05-03,Robert Perkins,Bulgaria
2022-11-03,Terry Gonzalez PhD,Honduras
2019-07-23,Vanessa Ali,Bouvet Island (Bouvetoya)
2003-09-30,John Hanson MD,Latvia
2016-09-25,William Anderson,Senegal
2009-07-09,Carolyn Webster,Burundi
2003-01-10,Matthew Herrera,Puerto Rico
2015-09-16,Jennifer Wagner,Madagascar
2020-03-24,Norma Lowe,Honduras
2006-06-27,Karen White,Bosnia and Herzegovina
2016-06-20,Robert Curry,Congo
2007-07-17,Mrs. Ashley Yoder,Jersey
2021-01-28,Jennifer Maldonado,British Indian Ocean Territory (Chagos Archipelago)
2014-03-24,Dana Mcgrath,El Salvador
2011-03-12,Cameron Sanchez,Korea
